R,depth,width,seed,K,s2,rel
1.0,2,4,7,-0.5,1.1781835566085712,1.0540155233609225
1.0,2,4,7,-1.0,1.3810978455418155,1.1357483745461097
1.0,2,4,7,-2.0,1.8722418031399817,1.340968733923994
1.0,2,4,7,-4.0,3.2885291045020604,2.0482608122551986
1.0,2,4,7,-6.0,5.5066774632090025,3.3362032756578937
1.0,2,4,8,0.5,0.8440563052346255,0.9712850121671961
1.0,2,4,8,0.0,1.0,1.0
1.0,2,4,8,-0.5,1.1781835566085712,1.0558740904512465
1.0,2,4,8,-1.0,1.3810978455418155,1.1201272313211008
1.0,2,4,8,-2.0,1.8722418031399817,1.3223341778012947
1.0,2,4,8,-4.0,3.2885291045020604,2.108829755149599
1.0,2,4,8,-6.0,5.5066774632090025,3.4412591562010206
1.0,2,4,9,0.5,0.8440563052346255,0.9840508495010486
1.0,2,4,9,0.0,1.0,1.0
1.0,2,4,9,-0.5,1.1781835566085712,1.0872401990080809
1.0,2,4,9,-1.0,1.3810978455418155,1.2040981884161008
1.0,2,4,9,-2.0,1.8722418031399817,1.507169368079088
1.0,2,4,9,-4.0,3.2885291045020604,2.374699483243834
1.0,2,4,9,-6.0,5.5066774632090025,3.8924574701217103
1.0,2,4,10,0.5,0.8440563052346255,0.9822938782738603
1.0,2,4,10,0.0,1.0,1.0
1.0,2,4,10,-0.5,1.1781835566085712,1.1071736459027843
1.0,2,4,10,-1.0,1.3810978455418155,1.230219804354108
1.0,2,4,10,-2.0,1.8722418031399817,1.521923897841599
1.0,2,4,10,-4.0,3.2885291045020604,2.336869912359698
1.0,2,4,10,-6.0,5.5066774632090025,3.5896050094824967
1.0,2,4,11,0.5,0.8440563052346255,0.9837131580773744
1.0,2,4,11,0.0,1.0,1.0
1.0,2,4,11,-0.5,1.1781835566085712,1.060456107552834
1.0,2,4,11,-1.0,1.3810978455418155,1.1201818215707162
